commu_area,user_cnt,venue_cnt,check-ins,KIDNAPPING,PUBLIC PEACE VIOLATION,INTERFERENCE WITH PUBLIC OFFICER,PROSTITUTION,LIQUOR LAW VIOLATION,ROBBERY,BURGLARY,MOTOR VEHICLE THEFT,OTHER NARCOTIC VIOLATION,HOMICIDE,OBSCENITY,WEAPONS VIOLATION,OTHER OFFENSE,CRIMINAL DAMAGE,THEFT,OFFENSE INVOLVING CHILDREN,GAMBLING,PUBLIC INDECENCY,NON-CRIMINAL (SUBJECT SPECIFIED),ARSON,NARCOTICS,SEX OFFENSE,INTIMIDATION,DECEPTIVE PRACTICE,BATTERY,NON - CRIMINAL,CRIMINAL TRESPASS,STALKING,ASSAULT,CRIM SEXUAL ASSAULT,NON-CRIMINAL
2,136,34,177,9,83,43,16,23,433,1041,572,0,7,3,78,829,1664,3013,92,3,0,1,15,724,43,5,506,2013,0,253,8,683,46,0
20,9,3,10,6,77,37,17,8,193,530,485,0,5,1,76,458,701,962,59,1,0,0,22,537,22,1,173,1169,0,77,4,386,36,0
21,351,55,517,6,68,19,7,33,328,894,959,0,9,1,48,605,1091,2073,81,2,0,0,23,490,31,5,359,1430,0,154,7,506,42,0
22,1061,207,2408,12,128,48,14,52,701,1975,1662,1,8,0,95,981,2319,5863,151,1,1,0,37,869,56,9,604,2961,0,346,18,907,76,0
23,66,12,69,28,244,207,577,47,1224,1598,1598,0,53,4,402,1559,2803,4521,234,136,0,0,77,7930,73,16,524,6091,0,517,12,1895,118,0
24,1599,389,4332,14,155,51,56,110,1068,2590,1797,0,17,1,135,1080,3439,9297,118,7,0,0,28,1294,93,13,937,3673,1,523,18,1343,80,0
25,66,19,79,51,511,387,859,53,2805,3257,2271,0,97,5,754,3460,5199,9684,409,419,0,0,89,14906,156,17,1339,12260,0,1120,15,3656,253,0
26,11,4,13,9,88,135,559,21,864,652,717,0,41,0,235,803,1345,2322,93,59,1,0,30,5664,33,4,964,3589,0,275,3,1001,63,0
27,28,7,28,18,119,83,237,15,878,718,899,0,29,2,212,918,1508,2599,91,93,0,0,24,4425,36,11,480,3737,0,374,14,1214,59,0
28,2175,418,4849,12,244,56,73,36,1034,1054,1473,2,30,3,127,1346,2398,9878,185,50,1,0,4,1489,99,10,1457,3730,0,1097,19,1454,102,0
29,49,6,52,10,261,89,80,23,1296,1472,1075,0,50,2,427,1485,2665,3999,176,234,0,0,44,7213,67,12,462,6431,0,502,16,1802,134,0
3,712,117,1204,5,117,32,18,14,407,576,661,0,11,3,100,807,1209,3749,75,4,2,0,9,1914,65,7,802,2076,0,423,10,803,75,0
30,63,13,74,18,611,41,127,114,750,883,1215,0,38,1,186,1088,2001,2762,145,7,1,0,39,1567,70,37,327,3337,0,244,10,1117,81,0
31,290,62,493,6,293,22,5,50,222,515,886,0,15,1,116,505,1326,2073,68,1,0,0,20,815,33,7,263,1607,0,235,8,635,34,0
32,3082,659,8020,7,184,26,107,28,636,294,270,4,1,3,30,806,844,12120,35,2,6,0,1,713,79,16,2908,1781,0,1197,29,878,63,1
33,1148,101,1641,6,25,9,4,5,157,215,206,1,2,1,14,322,482,2092,27,0,0,0,6,124,7,1,377,695,0,332,8,267,19,0
34,603,54,817,3,25,7,6,8,217,138,290,0,2,1,27,153,454,1136,14,4,2,0,5,198,11,4,539,637,0,178,2,195,6,0
35,75,20,92,6,59,12,1,3,379,258,382,0,4,1,50,474,687,2093,48,14,0,0,1,651,22,3,310,1694,0,395,7,629,39,0
